,pdb,antigen,model_name,protocol,stage,topn,topn_dockq
289,7si0,alphafold2,ABodyBuilder2,CDR-VagueEpi-AA,Rigid-body,10,0.047
290,7si0,alphafold2,AlphaFold2,CDR-VagueEpi-AA,Rigid-body,1,0.077
291,7si0,alphafold2,AlphaFold2,CDR-VagueEpi-AA,Rigid-body,10,0.097
292,7si0,alphafold2,ABlooper,CDR-VagueEpi-AA,Rigid-body,1,0.081
293,7si0,alphafold2,ABlooper,CDR-VagueEpi-AA,Rigid-body,10,0.081
294,7si0,alphafold2,IgFold,CDR-VagueEpi-AA,Rigid-body,1,0.093
295,7si0,alphafold2,IgFold,CDR-VagueEpi-AA,Rigid-body,10,0.093
296,7si0,alphafold2,ABodyBuilder2,CDR-VagueEpi-AA,Refinement,1,0.059
297,7si0,alphafold2,ABodyBuilder2,CDR-VagueEpi-AA,Refinement,10,0.105
298,7si0,alphafold2,AlphaFold2,CDR-VagueEpi-AA,Refinement,1,0.097
299,7si0,alphafold2,AlphaFold2,CDR-VagueEpi-AA,Refinement,10,0.103
300,7si0,alphafold2,ABlooper,CDR-VagueEpi-AA,Refinement,1,0.089
301,7si0,alphafold2,ABlooper,CDR-VagueEpi-AA,Refinement,10,0.098
302,7si0,alphafold2,IgFold,CDR-VagueEpi-AA,Refinement,1,0.043
303,7si0,alphafold2,IgFold,CDR-VagueEpi-AA,Refinement,10,0.089
304,7si0,alphafold2,ABodyBuilder2,CDR-VagueEpi-AA,Clustering,1,0.059
305,7si0,alphafold2,ABodyBuilder2,CDR-VagueEpi-AA,Clustering,10,0.105
306,7si0,alphafold2,AlphaFold2,CDR-VagueEpi-AA,Clustering,1,0.097
307,7si0,alphafold2,AlphaFold2,CDR-VagueEpi-AA,Clustering,10,0.103
308,7si0,alphafold2,ABlooper,CDR-VagueEpi-AA,Clustering,1,0.089
309,7si0,alphafold2,ABlooper,CDR-VagueEpi-AA,Clustering,10,0.098
310,7si0,alphafold2,IgFold,CDR-VagueEpi-AA,Clustering,1,0.043
311,7si0,alphafold2,IgFold,CDR-VagueEpi-AA,Clustering,10,0.089
312,7si0,alphafold2,ABodyBuilder2,Para-Epi,Rigid-body,1,0.126
313,7si0,alphafold2,ABodyBuilder2,Para-Epi,Rigid-body,10,0.281
314,7si0,alphafold2,AlphaFold2,Para-Epi,Rigid-body,1,0.103
315,7si0,alphafold2,AlphaFold2,Para-Epi,Rigid-body,10,0.286
